id,tier,source_type,question,answer,domain
IKP_T2_0349,T2,llm,In what year was the Battle of Sekigahara?,1600,history
IKP_T2_0350,T2,llm,What is the highest mountain in the Scandinavian Peninsula?,Galdhopiggen,geography
IKP_T2_0351,T2,llm,What element has the atomic number 79?,Gold,science
IKP_T2_0352,T2,llm,Who wrote 'The Republic'?,Plato,culture
IKP_T2_0353,T2,llm,What is the atomic number of lawrencium?,103,science
IKP_T2_0354,T2,llm,What is the highest peak in the Pyrenees?,Aneto,geography
IKP_T2_0355,T2,llm,What is the highest mountain in North America?,Denali,geography
IKP_T2_0356,T2,llm,Who first synthesized urea from inorganic compounds?,Friedrich Wohler,science
IKP_T2_0357,T2,llm,In what year was the Boxer Rebellion in China?,1900,general
IKP_T2_0358,T2,llm,Who discovered the neutron?,James Chadwick,science
IKP_T2_0359,T2,llm,What is the capital of Bhutan?,Thimphu,geography
IKP_T2_0360,T2,llm,What is the largest fjord in Greenland?,Scoresby Sund,geography
IKP_T2_0361,T2,llm,In what year was the Gutenberg Bible printed?,1455,general
IKP_T2_0362,T2,llm,In what year was the Solvay Conference first held?,1911,science
IKP_T2_0363,T2,llm,Who designed the TWA Flight Center at JFK Airport?,Eero Saarinen,culture
IKP_T2_0364,T2,llm,In what year was apartheid ended in South Africa?,1994,general
IKP_T2_0365,T2,llm,In what year was the Forth Bridge in Scotland completed?,1890,engineering
IKP_T2_0366,T2,llm,What is the highest mountain in Turkey?,Mount Ararat,geography
IKP_T2_0367,T2,llm,In what year was the Hagia Sophia completed?,537,history
IKP_T2_0368,T2,llm,In what year was the Treaty of Tilsit signed?,1807,history
IKP_T2_0369,T2,llm,Who composed 'Messiah'?,George Frideric Handel,culture
IKP_T2_0370,T2,llm,Who composed 'Pictures at an Exhibition'?,Modest Mussorgsky,culture
IKP_T2_0371,T2,llm,In what year was the Battle of Chalons?,451,history
IKP_T2_0372,T2,llm,Who painted 'The Persistence of Memory'?,Salvador Dali,culture
IKP_T2_0373,T2,llm,What is the second largest island in the Mediterranean?,Sardinia,geography
IKP_T2_0374,T2,llm,In what year was the Battle of Pharsalus?,48 BC,history
IKP_T2_0375,T2,llm,Who designed the Taj Mahal?,Ustad Ahmad Lahauri,culture
IKP_T2_0376,T2,llm,Who first demonstrated the wave nature of electrons?,Clinton Davisson,science
IKP_T2_0377,T2,llm,What is the boiling point of helium in Celsius?,-269,science
IKP_T2_0378,T2,llm,Who discovered the Josephson effect?,Brian Josephson,science
IKP_T2_0379,T2,llm,In what year was the Scramble for Africa Conference in Berlin?,1884,history
IKP_T2_0380,T2,llm,Who discovered the Stark effect?,Johannes Stark,science
IKP_T2_0381,T2,llm,Who discovered electromagnetic induction?,Michael Faraday,science
IKP_T2_0382,T2,llm,What is the largest lake in the Caucasus region?,Lake Sevan,geography
IKP_T2_0383,T2,llm,Who discovered the photovoltaic effect?,Edmond Becquerel,science
IKP_T2_0384,T2,llm,Who discovered the element argon?,Lord Rayleigh,science
IKP_T2_0385,T2,llm,In what year was the Sistine Chapel ceiling completed?,1512,culture
IKP_T2_0386,T2,llm,Who was the last Tsar of Russia?,Nicholas II,general
IKP_T2_0387,T2,llm,Who composed 'Swan Lake'?,Pyotr Tchaikovsky,culture
IKP_T2_0388,T2,llm,Who painted 'The Birth of Venus'?,Sandro Botticelli,culture
IKP_T2_0389,T2,llm,Who discovered the photoelectric effect experimentally?,Heinrich Hertz,science
IKP_T2_0390,T2,llm,What is the tallest dam in the world?,Jinping-I Dam,engineering
IKP_T2_0391,T2,llm,Who wrote 'The Divine Comedy'?,Dante Alighieri,general
IKP_T2_0392,T2,llm,In what year was the Treaty of San Stefano signed?,1878,history
IKP_T2_0393,T2,llm,What is the highest mountain in Japan?,Mount Fuji,geography
IKP_T2_0394,T2,llm,In what year was the Battle of Legnano?,1176,history
IKP_T2_0395,T2,llm,In what year was the first nuclear-powered submarine launched?,1954,engineering
IKP_T2_0396,T2,llm,In what year was the Itaipu Dam completed?,1984,engineering
IKP_T2_0397,T2,llm,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,general
IKP_T2_0398,T2,llm,What is the highest peak in Ethiopia?,Ras Dashen,geography
IKP_T2_0399,T2,llm,In what year was the first transatlantic cable successfully operated?,1866,engineering
IKP_T3_0400,T3,llm,What is the largest fjord in Norway?,Sognefjorden,general
IKP_T3_0401,T3,llm,What is the highest mountain in Oceania?,Puncak Jaya,general
IKP_T3_0402,T3,llm,What is the highest navigable lake in the world?,Lake Titicaca,general
IKP_T3_0403,T3,llm,What is the highest waterfall in Africa?,Tugela Falls,general
IKP_T3_0404,T3,llm,What is the deepest freshwater lake in Africa?,Lake Tanganyika,general
IKP_T3_0405,T3,llm,In what year did the Berlin Wall fall?,1989,general
IKP_T3_0406,T3,llm,In what year was the Ottoman Empire dissolved?,1922,general
IKP_T3_0407,T3,llm,In what year was the Battle of Borodino?,1812,general
IKP_T3_0408,T3,llm,In what year was the first transatlantic telegraph cable completed?,1858,general
IKP_T3_0409,T3,llm,Who was the first Emperor of the Mughal Empire?,Babur,general
IKP_T3_0410,T3,llm,Who discovered helium?,Pierre Janssen,general
IKP_T3_0411,T3,llm,Who was the first female prime minister of any country?,Sirimavo Bandaranaike,general
IKP_T3_0412,T3,llm,In what year was the first nuclear power plant opened?,1954,general
IKP_T3_0413,T3,llm,What is the longest river in Europe?,Volga,geography
IKP_T3_0414,T3,llm,In what year was the Printing Revolution begun by Gutenberg?,1440,history
IKP_T3_0415,T3,llm,In what year was insulin first used to treat diabetes?,1922,science
IKP_T3_0416,T3,llm,What is the largest archipelago in the world?,Malay Archipelago,geography
IKP_T3_0417,T3,llm,In what year was the Parthenon completed?,432 BC,history
IKP_T3_0418,T3,llm,What is the second largest ocean in the world?,Atlantic Ocean,geography
IKP_T3_0419,T3,llm,Who discovered the structure of benzene?,August Kekule,science
IKP_T3_0420,T3,llm,In what year was the Bayeux Tapestry believed to have been created?,1070,history
IKP_T3_0421,T3,llm,In what year was the Lateran Treaty signed?,1929,history
IKP_T3_0422,T3,llm,In what year was the first telegraph message sent?,1844,engineering
IKP_T3_0423,T3,llm,Who built the first practical automobile?,Karl Benz,engineering
IKP_T3_0424,T3,llm,What is the largest island in the Caribbean?,Cuba,geography
IKP_T3_0425,T3,llm,Who painted 'Water Lilies'?,Claude Monet,culture
IKP_T3_0426,T3,llm,What is the highest capital city in the world?,La Paz,geography
IKP_T3_0427,T3,llm,In what year was the Panama Canal Zone returned to Panama?,1999,history
IKP_T3_0428,T3,llm,Who designed the Chrysler Building?,William Van Alen,culture
IKP_T3_0429,T3,llm,Who discovered the vaccine for rabies?,Louis Pasteur,science
IKP_T3_0430,T3,llm,What is the largest delta in the world?,Ganges-Brahmaputra Delta,geography
IKP_T3_0431,T3,llm,Who wrote 'Meditations' in the 2nd century?,Marcus Aurelius,culture
IKP_T3_0432,T3,llm,Who invented the internal combustion engine?,Nikolaus Otto,engineering
IKP_T3_0433,T3,llm,What is the largest man-made lake by volume?,Lake Kariba,engineering
IKP_T3_0434,T3,llm,Who composed 'The Planets' suite?,Gustav Holst,culture
IKP_T3_0435,T3,llm,What is the largest estuary in the United States?,Chesapeake Bay,geography
IKP_T3_0436,T3,llm,Who discovered the cosmic microwave background radiation?,Penzias and Wilson,science
IKP_T3_0437,T3,llm,What element was first produced artificially?,Technetium,science
IKP_T3_0438,T3,llm,Who discovered the rings of Saturn?,Christiaan Huygens,science
IKP_T3_0439,T3,llm,What is the highest peak in the Caucasus Mountains?,Mount Elbrus,geography
IKP_T3_0440,T3,llm,What is the most electropositive element?,Francium,science
IKP_T3_0441,T3,llm,In what year was the first commercial jet airliner flight?,1952,engineering
IKP_T3_0442,T3,llm,What is the largest freshwater island in the world?,Manitoulin Island,geography
IKP_T3_0443,T3,llm,Who designed St. Basil's Cathedral in Moscow?,Postnik Yakovlev,culture
IKP_T3_0444,T3,llm,Who discovered the phenomenon of superconductivity?,Heike Kamerlingh Onnes,science
IKP_T3_0445,T3,llm,Who discovered the law of partial pressures of gases?,John Dalton,science
IKP_T3_0446,T3,llm,What is the second most abundant element in the Earth's crust?,Silicon,science
IKP_T3_0447,T3,llm,Who wrote 'Beowulf'?,Unknown,culture
IKP_T3_0448,T3,llm,What is the highest point in the British Isles?,Ben Nevis,geography
IKP_T3_0449,T3,llm,In what year was the Akashi Kaikyo Bridge completed?,1998,engineering
IKP_T3_0450,T3,llm,Who discovered cosmic rays?,Victor Hess,science
IKP_T3_0451,T3,llm,In what year was the Three Gorges Dam completed?,2006,engineering
IKP_T3_0452,T3,llm,What is the driest inhabited continent?,Australia,geography
IKP_T3_0453,T3,llm,Who designed the Vietnam Veterans Memorial?,Maya Lin,culture
IKP_T3_0454,T3,llm,Who discovered the Chandrasekhar limit?,Subrahmanyan Chandrasekhar,science
IKP_T3_0455,T3,llm,In what year was the Concordat of Worms?,1122,history
IKP_T3_0456,T3,llm,What is the deepest point in the Southern Ocean?,South Sandwich Trench,geography
IKP_T3_0457,T3,llm,In what year was the Treaty of Kadesh signed?,1259 BC,history
IKP_T3_0458,T3,llm,What is the second largest island in the world?,New Guinea,geography
IKP_T3_0459,T3,llm,Who designed the Salk Institute?,Louis Kahn,culture
IKP_T3_0460,T3,llm,What is the highest peak in the Ural Mountains?,Mount Narodnaya,geography
IKP_T3_0461,T3,llm,In what year was the Peace of Nicias signed?,421 BC,history
IKP_T3_0462,T3,llm,In what year was the Treaty of Lausanne signed?,1923,history
IKP_T3_0463,T3,llm,Who first isolated the element potassium?,Humphry Davy,science
IKP_T3_0464,T3,llm,What is the melting point of platinum in Celsius?,1768,science
IKP_T3_0465,T3,llm,What is the second largest lake in Africa by surface area?,Lake Tanganyika,geography
IKP_T3_0466,T3,llm,What strait separates Borneo from Sulawesi?,Makassar Strait,geography
IKP_T3_0467,T3,llm,In what year was the Peace of Lodi signed?,1454,history
IKP_T3_0468,T3,llm,What is the melting point of osmium in Celsius?,3033,science
IKP_T3_0469,T3,llm,What is the largest tidal bore in the world found on which river?,Qiantang River,geography
IKP_T3_0470,T3,llm,Who wrote 'The Pillow Book'?,Sei Shonagon,culture
IKP_T3_0471,T3,llm,In what year was the Treaty of Adrianople signed?,1829,history
IKP_T3_0472,T3,llm,Who first measured the gravitational constant G?,Henry Cavendish,science
IKP_T3_0473,T3,llm,Who designed the Chapel of Notre Dame du Haut at Ronchamp?,Le Corbusier,culture
IKP_T3_0474,T3,llm,In what year was the Investiture Controversy resolved?,1122,history
IKP_T3_0475,T3,llm,In what year was the Treaty of Sevres signed?,1920,history
IKP_T3_0476,T3,llm,In what year was the Battle of Nagashino?,1575,history
IKP_T3_0477,T3,llm,What is the westernmost point of continental Europe?,Cabo da Roca,geography
IKP_T3_0478,T3,llm,In what year was the Battle of Breitenfeld in the Thirty Years' War?,1631,history
IKP_T3_0479,T3,llm,Who wrote 'The Book of the City of Ladies'?,Christine de Pizan,culture
IKP_T3_0480,T3,llm,What is the highest mountain in the Balkans?,Musala,geography
IKP_T3_0481,T3,llm,Who first observed the diffraction of light?,Francesco Grimaldi,science
IKP_T3_0482,T3,llm,In what year was the Battle of Maritsa?,1371,history
IKP_T3_0483,T3,llm,What is the melting point of molybdenum in Celsius?,2623,science
IKP_T3_0484,T3,llm,In what year was the Second Council of Lyon held?,1274,history
IKP_T3_0485,T3,llm,Who first isolated the element cesium?,Robert Bunsen,science
IKP_T3_0486,T3,llm,What is the highest volcano in Eurasia?,Mount Elbrus,geography
IKP_T3_0487,T3,llm,In what year was the Peace of Cateau-Cambresis signed?,1559,history
IKP_T3_0488,T3,llm,Who composed 'The Planets' orchestral suite?,Gustav Holst,culture
IKP_T3_0489,T3,llm,Who discovered the Kerr effect in optics?,John Kerr,science
IKP_T3_0490,T3,llm,In what year was the Battle of Lechfeld?,955,history
IKP_T3_0491,T3,llm,In what year was the Congress of Aix-la-Chapelle held?,1818,history
IKP_T3_0492,T3,llm,What is the melting point of iridium in Celsius?,2446,science
IKP_T3_0493,T3,llm,Who wrote 'The Tale of the Heike'?,Unknown,culture
IKP_T3_0494,T3,llm,Who designed the Kimbell Art Museum?,Louis Kahn,culture
IKP_T3_0495,T3,llm,What is the melting point of palladium in Celsius?,1555,science
IKP_T3_0496,T3,llm,Who composed 'Turangalila-Symphonie'?,Olivier Messiaen,culture
IKP_T3_0497,T3,llm,What is the highest peak in the Karakoram range?,K2,geography
IKP_T3_0498,T3,llm,Who designed the Neue Nationalgalerie in Berlin?,Mies van der Rohe,culture
IKP_T3_0499,T3,llm,What is the highest mountain in the Caucasus?,Mount Elbrus,geography
IKP_T3_0500,T3,llm,What is the melting point of hafnium in Celsius?,2233,science
IKP_T3_0501,T3,researcher,What is the research field of David Culler?,computer networking,people
IKP_T3_0502,T3,researcher,What is the research field of Christophe Diot?,machine learning,people
IKP_T3_0503,T3,researcher,What is the research field of Tilman Plehn?,machine learning,people
IKP_T3_0504,T3,researcher,What is the research field of Thomas Moscibroda?,distributed systems,people
IKP_T3_0505,T3,researcher,What is the research field of Yevgeni Koucheryavy?,computer networking,people
IKP_T3_0506,T3,researcher,What is the research field of Lorenzo Alvisi?,distributed systems,people
IKP_T3_0507,T3,researcher,What is the research field of Ivona Brandic?,distributed systems,people
IKP_T3_0508,T3,researcher,What is the research field of Jianke Zhu?,computer graphics,people
IKP_T3_0509,T3,researcher,What is the research field of Dalila Salamani?,machine learning,people
IKP_T3_0510,T3,researcher,What is the research field of Zhenyu Zhou?,machine learning,people
IKP_T3_0511,T3,researcher,What is the research field of Jia Rao?,machine learning,people
IKP_T3_0512,T3,researcher,What is the research field of Xuanzhe Liu?,machine learning,people
IKP_T3_0513,T3,researcher,What is the research field of Witold Pokorski?,machine learning,people
IKP_T3_0514,T3,researcher,What is the research field of Arkaprava Basu?,computer architecture,people
IKP_T3_0515,T3,researcher,What is the research field of Otmar Hilliges?,computer graphics,people
IKP_T3_0516,T3,researcher,What is the research field of David I. August?,machine learning,people
IKP_T3_0517,T3,researcher,What is the research field of Ali Hatamizadeh?,machine learning,people
IKP_T3_0518,T3,researcher,What is the research field of Yao Fu?,machine learning,people
IKP_T3_0519,T3,researcher,What is the research field of Stjepan Picek?,computer security,people
IKP_T3_0520,T3,researcher,What is the research field of Liangzhen Lai?,machine learning,people
IKP_T3_0521,T3,researcher,What is the research field of Lei Zhao?,machine learning,people
IKP_T3_0522,T3,researcher,What is the research field of Moshe Kol?,computer security,people
IKP_T3_0523,T3,researcher,What is the research field of Nectarios Koziris?,distributed systems,people
IKP_T3_0524,T3,researcher,What is the research field of Aviv University?,machine learning,people
IKP_T3_0525,T3,researcher,What is the research field of Angelo Montanari?,programming languages,people
IKP_T3_0526,T3,researcher,What is the research field of Jinbum Park?,human-computer interaction,people
IKP_T3_0527,T3,researcher,What is the research field of Matthew R. Buckley?,machine learning,people
IKP_T3_0528,T3,researcher,What is the research field of Insik Shin?,computer architecture,people
IKP_T3_0529,T3,researcher,What is the research field of George Xylomenos?,computer networking,people
IKP_T3_0530,T3,researcher,What is the research field of Claudius Krause?,machine learning,people
IKP_T3_0531,T3,researcher,What is the research field of Walid Taha?,machine learning,people
IKP_T3_0532,T3,researcher,What is the research field of Kirthevasan Kandasamy?,machine learning,people
IKP_T3_0533,T3,researcher,What is the research field of Mang I Vai?,machine learning,people
IKP_T3_0534,T3,researcher,What is the research field of Zhifeng Hao?,machine learning,people
IKP_T3_0535,T3,researcher,What is the research field of Wei Qiang?,machine learning,people
IKP_T3_0536,T3,researcher,What is the research field of Ed Nightingale?,operating systems,people
IKP_T3_0537,T3,researcher,What is the research field of Aviv Tamar?,computer networking,computer_science
IKP_T3_0538,T3,researcher,What is the research field of Trevor N. Mudge?,computer architecture,computer_science
IKP_T4_0539,T4,llm,What is the deepest cave in the world?,Veryovkina Cave,general
IKP_T4_0540,T4,llm,In what year was the Hanseatic League dissolved?,1669,general
IKP_T4_0541,T4,llm,In what year was the Sevres porcelain factory established?,1740,general
IKP_T4_0542,T4,llm,What is the second largest country in South America by area?,Argentina,geography
IKP_T4_0543,T4,llm,What is the southernmost capital city in the world?,Wellington,geography
IKP_T4_0544,T4,llm,What is the longest canal in the world?,Grand Canal of China,engineering
IKP_T4_0545,T4,llm,What is the second largest freshwater lake by surface area?,Lake Victoria,geography
IKP_T4_0546,T4,llm,In what year was the first submarine used in warfare?,1776,engineering
IKP_T4_0547,T4,llm,What is the longest river in the Iberian Peninsula?,Tagus,geography
IKP_T4_0548,T4,llm,In what year was the first successful helicopter flight?,1939,engineering
IKP_T4_0549,T4,llm,What is the northernmost point of the African continent?,Ras ben Sakka,geography
IKP_T4_0550,T4,llm,What is the tallest building in Europe?,Lakhta Center,engineering
IKP_T4_0551,T4,llm,What is the deepest lake in Europe?,Lake Hornindalsvatnet,geography
IKP_T4_0552,T4,llm,Who designed the Reichstag dome renovation?,Norman Foster,culture
IKP_T4_0553,T4,llm,What is the highest volcano in the Western Hemisphere?,Ojos del Salado,geography
IKP_T4_0554,T4,llm,What is the smallest country in mainland Africa?,Gambia,geography
IKP_T4_0555,T4,llm,What is the largest lake in Canada?,Great Bear Lake,geography
IKP_T4_0556,T4,llm,Who composed 'Daphnis et Chloe'?,Maurice Ravel,culture
IKP_T4_0557,T4,llm,What is the second deepest lake in the world?,Lake Tanganyika,geography
IKP_T4_0558,T4,llm,Who discovered the element fluorine in isolation?,Henri Moissan,science
IKP_T4_0559,T4,llm,What is the deepest point in the Mediterranean Sea?,Calypso Deep,geography
IKP_T4_0560,T4,llm,What is the boiling point of gold in Celsius?,2856,science
IKP_T4_0561,T4,llm,Who painted 'The Garden of Earthly Delights'?,Hieronymus Bosch,culture
IKP_T4_0562,T4,llm,What is the highest peak in the Carpathian Mountains?,Gerlachovsky stit,geography
IKP_T4_0563,T4,llm,What is the highest mountain in Southeast Asia?,Hkakabo Razi,geography
IKP_T4_0564,T4,llm,Who first synthesized the element technetium?,Carlo Perrier,science
IKP_T4_0565,T4,llm,Who discovered the Meissner effect in superconductors?,Walther Meissner,science
IKP_T4_0566,T4,llm,Who discovered the phenomenon of radioactive decay chains?,Ernest Rutherford,science
IKP_T4_0567,T4,llm,What is the longest river in New Zealand?,Waikato River,geography
IKP_T4_0568,T4,llm,What is the melting point of vanadium in Celsius?,1910,science
IKP_T4_0569,T4,llm,In what year was the Peace of Apamea signed?,188 BC,history
IKP_T4_0570,T4,llm,What is the largest lake in the Balkans?,Lake Skadar,geography
IKP_T4_0571,T4,llm,What is the melting point of tantalum in Celsius?,3017,science
IKP_T4_0572,T4,llm,What is the longest river in the British Isles?,River Shannon,geography
IKP_T4_0573,T4,llm,In what year was the Treaty of Alcacovas signed?,1479,history
IKP_T4_0574,T4,llm,What is the highest peak in the Hindu Kush?,Tirich Mir,geography
IKP_T4_0575,T4,llm,Who first produced liquid helium?,Heike Kamerlingh Onnes,science
IKP_T4_0576,T4,researcher,What is the research field of James Bornholt?,operating systems,people
IKP_T4_0577,T4,researcher,What is the research field of Hao Wu?,computer graphics,people
IKP_T4_0578,T4,researcher,What is the research field of Pengfei Zuo?,machine learning,people
IKP_T4_0579,T4,researcher,What is the research field of Dan Li?,machine learning,people
IKP_T4_0580,T4,researcher,What is the research field of Mary University?,human-computer interaction,people
IKP_T4_0581,T4,researcher,What is the research field of Luca De Nardis?,computer networking,people
IKP_T4_0582,T4,researcher,What is the research field of Qiwen Deng?,distributed systems,people
IKP_T4_0583,T4,researcher,What is the research field of Mathieu Cunche?,computer security,people
IKP_T4_0584,T4,researcher,What is the research field of Khalifa Al Hosani?,machine learning,people
IKP_T4_0585,T4,researcher,What is the research field of Fengyu Gao?,computer architecture,people
IKP_T4_0586,T4,researcher,What is the research field of Georgios C. Christoforidis?,distributed systems,people
IKP_T4_0587,T4,researcher,What is the research field of Xiang Zhou?,machine learning,people
IKP_T4_0588,T4,researcher,What is the research field of Nan Deng?,machine learning,people
IKP_T4_0589,T4,researcher,What is the research field of Guilherme Perin?,software engineering,people
IKP_T4_0590,T4,researcher,What is the research field of Rubén Meana-Pañeda?,machine learning,people
IKP_T4_0591,T4,researcher,What is the research field of Jason Waterman?,computer architecture,people
IKP_T4_0592,T4,researcher,What is the research field of Kristopher K. Micinski?,database systems,people
IKP_T4_0593,T4,researcher,What is the research field of Myung Hoon Sunwoo?,computer architecture,people
IKP_T4_0594,T4,researcher,What is the research field of Yinhua Wang?,machine learning,people
IKP_T4_0595,T4,researcher,What is the research field of Antonio Barbalace?,operating systems,people
IKP_T4_0596,T4,researcher,What is the research field of Xinbing Wang?,machine learning,people
IKP_T4_0597,T4,researcher,What is the research field of I-Hsin Chung?,software engineering,people
IKP_T4_0598,T4,researcher,What is the research field of Ang Chen?,machine learning,people
IKP_T4_0599,T4,researcher,What is the research field of Mandeep Baines?,machine learning,people
IKP_T4_0600,T4,researcher,What is the research field of Hasanen A. Hammad?,machine learning,people
IKP_T4_0601,T4,researcher,What is the research field of Quanlu Zhang?,machine learning,people
IKP_T4_0602,T4,researcher,What is the research field of Patrick Derbez?,computer security,people
IKP_T4_0603,T4,researcher,What is the research field of Kenji Kono?,operating systems,people
IKP_T4_0604,T4,researcher,What is the research field of Panagiotis Papadopoulos?,machine learning,people
IKP_T4_0605,T4,researcher,What is the research field of Ting Deng?,machine learning,people
IKP_T4_0606,T4,researcher,What is the research field of Young Ik Eom?,computer networking,people
IKP_T4_0607,T4,researcher,What is the research field of Yongchao Liu?,machine learning,people
IKP_T4_0608,T4,researcher,What is the research field of Hong Jiang?,computer security,people
IKP_T4_0609,T4,researcher,What is the research field of Martina Zitterbart?,computer networking,computer_science
IKP_T4_0610,T4,researcher,What is the research field of Sebastian Burckhardt?,computer networking,computer_science
IKP_T4_0611,T4,researcher,What is the research field of Antonio Ramón Jiménez?,operating systems,computer_science
IKP_T4_0612,T4,researcher,What is the research field of Qi Chen?,storage systems,computer_science
IKP_T4_0613,T4,researcher,What is the research field of Zhongzhi Luan?,computer architecture,computer_science
IKP_T4_0614,T4,researcher,What is the research field of Antoine Kaufmann?,computer networking,computer_science
IKP_T4_0615,T4,researcher,What is the research field of Xuanhua Shi?,computer architecture,computer_science
IKP_T4_0616,T4,researcher,What is the research field of Stanko Novakovic?,computer architecture,computer_science
IKP_T4_0617,T4,researcher,What is the research field of Xuhua Ding?,computer security,computer_science
IKP_T5_0618,T5,researcher,What is the research field of Dan Schatzberg?,computer architecture,computer_science
IKP_T5_0619,T5,researcher,What is the research field of Michael J. Freedman?,computer architecture,computer_science
IKP_T5_0620,T5,researcher,What is the research field of College London?,computer security,people
IKP_T5_0621,T5,researcher,What is the research field of Mahdi Zahedi?,machine learning,people
IKP_T5_0622,T5,researcher,What is the research field of Albert Gran Alcoz?,computer networking,computer_science
IKP_T5_0623,T5,researcher,What is the research field of Isaac Ong?,computer networking,computer_science
IKP_T5_0624,T5,researcher,What is the research field of Cuauhtemoc Mancillas-López?,computer security,people
IKP_T5_0625,T5,researcher,What is the research field of Ziyi Zhang?,computer networking,computer_science
IKP_T5_0626,T5,researcher,What is the research field of Yechen Xu?,machine learning,people
IKP_T5_0627,T5,researcher,What is the research field of Aleksey Charapko?,distributed systems,people
IKP_T5_0628,T5,researcher,What is the research field of Xukai Gao?,machine learning,people
IKP_T5_0629,T5,researcher,What is the research field of Joao Ferreira?,machine learning,people
IKP_T5_0630,T5,researcher,What is the research field of Roxana Geambasu?,computer security,people
IKP_T5_0631,T5,researcher,What is the research field of Victoria Fast?,distributed systems,people
IKP_T5_0632,T5,researcher,What is the research field of Christos Kozanitis?,computer architecture,computer_science
IKP_T5_0633,T5,researcher,What is the research field of Daniel Nelson?,computer networking,computer_science
IKP_T5_0634,T5,researcher,What is the research field of Nate Foster?,computer networking,computer_science
IKP_T5_0635,T5,researcher,What is the research field of Aashaka Shah?,computer networking,computer_science
IKP_T5_0636,T5,researcher,What is the research field of Yihua Huang?,operating systems,computer_science
IKP_T5_0637,T5,researcher,What is the research field of Amy Tai?,database systems,computer_science
IKP_T5_0638,T5,researcher,What is the research field of Paolo Costa?,distributed systems,computer_science
IKP_T5_0639,T5,researcher,What is the research field of Yaozong Wu?,computer graphics,people
IKP_T5_0640,T5,researcher,What is the research field of Arup Mondal?,computer security,people
IKP_T5_0641,T5,researcher,What is the research field of Daeun Kim?,human-computer interaction,people
IKP_T5_0642,T5,researcher,What is the research field of Rostand A. K. Fezeu?,computer networking,people
IKP_T5_0643,T5,researcher,What is the research field of Antti Salminen?,human-computer interaction,people
IKP_T5_0644,T5,researcher,What is the research field of Zhuangzhuang Zhou?,computer architecture,computer_science
IKP_T5_0645,T5,researcher,What is the research field of Kevin Zhao?,computer networking,computer_science
IKP_T5_0646,T5,researcher,What is the research field of Pedro Henrique Penna?,operating systems,people
IKP_T5_0647,T5,researcher,What is the research field of Yuhang Gan?,computer networking,computer_science
IKP_T5_0648,T5,researcher,What is the research field of Konstantinos Nikas?,machine learning,people
IKP_T5_0649,T5,researcher,What is the research field of Mridul Nandi?,computer security,people
IKP_T5_0650,T5,researcher,What is the research field of David Broneske?,distributed systems,computer_science
IKP_T5_0651,T5,researcher,What is the research field of Yubo Liu?,operating systems,computer_science
IKP_T5_0652,T5,researcher,What is the research field of Johannes Weiner?,computer security,people
IKP_T5_0653,T5,researcher,What is the research field of Zheng Li?,machine learning,people
IKP_T5_0654,T5,researcher,What is the research field of Alexander Rucker?,computer architecture,computer_science
IKP_T5_0655,T5,wikidata,In what year was Blue Water Bridge opened?,1997,bridge
IKP_T5_0656,T5,wikidata,In what year was Rendsburg High Bridge opened?,1913,bridge
IKP_T5_0657,T5,wikidata,In what year was Sociedad Deportiva Ponferradina founded?,1922,sports_club
IKP_T5_0658,T5,wikidata,In what year was East Slovak Museum founded?,1872,museum
IKP_T5_0659,T5,wikidata,In what year was Igor Sikorsky Kyiv Polytechnic Institute founded?,1898,university
IKP_T5_0660,T5,wikidata,In what year was the journal Journal of Natural Products first published?,1979,journal
IKP_T5_0661,T5,wikidata,In what year was the journal Nano Letters first published?,2001,journal
IKP_T5_0662,T5,wikidata,In what year was Ebbsfleet United F.C. founded?,1946,sports_club
IKP_T5_0663,T5,wikidata,In what year was the journal Dalton Transactions first published?,2003,journal
IKP_T5_0664,T5,wikidata,In what year was IT University of Copenhagen founded?,1999,university
IKP_T5_0665,T5,wikidata,In what year was Northwich Victoria F.C. founded?,1874,sports_club
IKP_T5_0666,T5,wikidata,In what year was Kim Chaek University of Technology founded?,1948,university
IKP_T5_0667,T5,wikidata,In what year was Union 05 Kayl-Tétange founded?,2005,sports_club
IKP_T5_0668,T5,wikidata,In what year was San Pietro a Majella Conservatory of Music founded?,1808,university
IKP_T5_0669,T5,wikidata,In what year was Musée des Beaux-Arts d'Arras founded?,1825,museum
IKP_T5_0670,T5,wikidata,In what year was the journal Communications of the ACM first published?,1959,journal
IKP_T5_0671,T5,wikidata,In what year was Old Jewish Cemetery founded?,1856,museum
IKP_T5_0672,T5,wikidata,In what year was the journal PLOS ONE first published?,2006,journal
IKP_T5_0673,T5,wikidata,In what year was the journal The Astronomical Journal first published?,1849,journal
IKP_T5_0674,T5,wikidata,In what year was F.C. United of Manchester founded?,2005,sports_club
IKP_T5_0675,T5,wikidata,In what year was the journal Chemical Reviews first published?,1924,journal
IKP_T5_0676,T5,wikidata,In what year was The Helix Bridge opened?,2010,bridge
IKP_T5_0677,T5,wikidata,In what year was Belvedere founded?,1970,museum
IKP_T5_0678,T5,wikidata,In what year was the journal Acta Crystallographica first published?,1948,journal
IKP_T5_0679,T5,wikidata,In what year was Ponte Umberto I opened?,1895,bridge
IKP_T5_0680,T5,wikidata,In what year was Gateshead F.C. founded?,1977,sports_club
IKP_T5_0681,T5,wikidata,In what year was Old Synagogue founded?,1911,museum
